episode,total_reward,steps,success,epsilon,q_states
86,-45,58,1,0.9175547491935327,3137
87,-58,78,1,0.9166371944443392,3156
88,-234,118,1,0.9157205572498949,3191
89,-547,200,0,0.914804836692645,3240
90,-656,200,0,0.9138900318559524,3291
91,100,1,1,0.9129761418240965,3292
92,-514,200,1,0.9120631656822724,3334
93,-598,200,0,0.9111511025165902,3376
94,-38,35,1,0.9102399514140735,3391
95,-686,200,0,0.9093297114626595,3449
96,-506,200,0,0.9084203817511969,3496
97,0,56,1,0.9075119613694457,3507
98,-13,39,1,0.9066044494080763,3520
99,-704,200,0,0.9056978449586682,3565
100,-529,200,0,0.9047921471137096,3604
101,-283,126,1,0.9038873549665959,3649
102,-722,200,0,0.9029834676116293,3707
103,-703,200,0,0.9020804841440176,3747
104,100,1,1,0.9011784036598737,3748
105,-608,200,0,0.9002772252562138,3805
106,-563,200,0,0.8993769480309576,3868
107,48,17,1,0.8984775710829266,3874
108,-331,162,1,0.8975790935118436,3917
109,-227,117,1,0.8966815144183318,3941
110,-602,200,0,0.8957848329039134,3987
111,-558,200,0,0.8948890480710096,4016
112,-173,91,1,0.8939941590229386,4045
113,-643,200,0,0.8931001648639156,4086
114,71,10,1,0.8922070646990518,4090
115,-651,200,0,0.8913148576343527,4159
116,8,36,1,0.8904235427767183,4173
117,-415,199,1,0.8895331192339416,4220
118,-469,200,0,0.8886435861147077,4286
119,18,32,1,0.887754942528593,4295
120,-388,174,1,0.8868671875860644,4334
121,-632,200,0,0.8859803203984784,4359
122,-574,200,0,0.88509434007808,4423
123,-741,200,0,0.8842092457380019,4447
124,-72,53,1,0.8833250364922639,4460
125,-637,200,0,0.8824417114557717,4509
126,-50,55,1,0.8815592697443159,4524
127,-731,200,0,0.8806777104745716,4556
128,-46,51,1,0.8797970327640969,4569
129,-84,53,1,0.8789172357313328,4584
130,-608,200,0,0.8780383184956015,4605
131,-718,200,0,0.8771602801771059,4647
132,102,2,1,0.8762831198969288,4649
133,-47,63,1,0.8754068367770318,4667
134,-641,200,0,0.8745314299402548,4693
135,-489,200,0,0.8736568985103146,4722
136,-554,200,0,0.8727832416118043,4759
137,-540,200,0,0.8719104583701925,4793
138,-106,85,1,0.8710385479118223,4811
139,-568,200,0,0.8701675093639105,4848
140,-122,90,1,0.8692973418545467,4856
141,-358,156,1,0.8684280445126921,4892
142,-173,92,1,0.8675596164681794,4912
143,-54,77,1,0.8666920568517111,4946
144,-585,200,0,0.8658253647948594,4999
145,-124,94,1,0.8649595394300645,5030
146,-662,200,0,0.8640945798906344,5090
147,-594,200,0,0.8632304853107438,5118
148,-31,52,1,0.862367254825433,5144
149,-504,194,1,0.8615048875706075,5185
150,-660,200,0,0.8606433826830369,5233
151,-63,77,1,0.8597827393003539,5239
152,68,10,1,0.8589229565610536,5245
153,-319,103,1,0.8580640336044925,5271
154,71,5,1,0.857205969570888,5273
